Date,Transaction_ID,Account,Category,Amount,Currency,Description
2023-04-21,TID1038,Savings,Entertainment,2766.27,INR,Gym membership
2023-04-22,TID1016,Checking,Food,3890.45,INR,Gym membership
2023-04-23,TID1027,Credit,Transport,2622.98,INR,Dining out
2023-04-23,TID1097,Credit,Food,3580.06,INR,Gym membership
2023-04-25,TID1005,Savings,Utilities,9966.11,INR,Dining out
2023-04-27,TID1065,Checking,Salary,3710.3,INR,Internet charges
2023-04-30,TID1068,Checking,Transport,9604.96,INR,Dining out
2023-04-30,TID1017,Checking,Transport,-3787.2,INR,Salary credited
2023-05-06,TID1004,Savings,Utilities,-2778.7,INR,Movie tickets
2023-05-06,TID1089,Savings,Food,8591.48,INR,Cab fare
2023-05-16,TID1047,Savings,Utilities,9732.53,INR,Cab fare
2023-05-17,TID1080,Credit,Salary,5814.1,INR,Movie tickets
2023-05-19,TID1093,Credit,Utilities,5033.86,INR,Electricity bill
2023-05-21,TID1003,Credit,Food,5684.06,INR,Gym membership
2023-05-23,TID1036,Credit,Rent,9107.85,INR,Dining out
2023-05-23,TID1030,Checking,Entertainment,-110.62,INR,Salary credited
2023-05-23,TID1071,Checking,Salary,2284.21,INR,Electricity bill
2023-05-29,TID1066,Checking,Salary,584.24,INR,Electricity bill
2023-05-31,TID1055,Credit,Rent,-816.93,INR,Salary credited
2023-06-16,TID1099,Savings,Food,-4345.94,INR,Grocery shopping
2023-06-22,TID1039,Credit,Utilities,7565.65,INR,Internet charges
2023-06-24,TID1035,Checking,Rent,-3557.35,INR,Gym membership
2023-06-26,TID1045,Credit,Entertainment,-1571.75,INR,Monthly rent
2023-07-01,TID1077,Credit,Utilities,-2317.66,INR,Movie tickets
2023-07-03,TID1044,Savings,Transport,5436.77,INR,Cab fare
2023-07-05,TID1058,Credit,Transport,7844.86,INR,Grocery shopping
2023-07-06,TID1074,Checking,Food,-2361.12,INR,Electricity bill
2023-07-09,TID1076,Checking,Food,2408.41,INR,Movie tickets
2023-07-13,TID1052,Checking,Utilities,3374.4,INR,Salary credited
2023-07-14,TID1070,Credit,Rent,-419.54,INR,Monthly rent
2023-07-14,TID1092,Savings,Salary,4676.55,INR,Cab fare
2023-07-14,TID1042,Credit,Entertainment,-1863.93,INR,Dining out
2023-08-03,TID1026,Savings,Entertainment,-2739.24,INR,Grocery shopping
2023-08-05,TID1012,Savings,Salary,5210.58,INR,Cab fare
2023-08-05,TID1034,Credit,Food,229.99,INR,Monthly rent
2023-08-18,TID1028,Credit,Utilities,5437.19,INR,Grocery shopping
2023-08-21,TID1072,Checking,Food,1726.36,INR,Grocery shopping
2023-08-24,TID1049,Checking,Salary,-1087.56,INR,Electricity bill
2023-08-25,TID1091,Savings,Rent,251.18,INR,Salary credited
2023-09-16,TID1018,Checking,Entertainment,544.82,INR,Electricity bill
2023-10-01,TID1088,Checking,Entertainment,2301.13,INR,Grocery shopping
2023-10-02,TID1050,Checking,Entertainment,9943.81,INR,Gym membership
2023-10-07,TID1009,Credit,Rent,-4504.24,INR,Grocery shopping
2023-10-07,TID1025,Savings,Utilities,6975.18,INR,Monthly rent
2023-10-10,TID1054,Checking,Salary,-2169.39,INR,Internet charges
2023-10-13,TID1096,Savings,Salary,2487.9,INR,Salary credited
2023-10-15,TID1021,Savings,Transport,2054.51,INR,Monthly rent
2023-10-23,TID1059,Credit,Food,1067.62,INR,Dining out
2023-10-29,TID1029,Credit,Food,7875.38,INR,Gym membership
2023-10-30,TID1011,Credit,Food,4515.27,INR,Movie tickets
2023-11-05,TID1019,Checking,Utilities,-1367.6,INR,Dining out
2023-11-06,TID1046,Checking,Entertainment,-2375.68,INR,Monthly rent
2023-11-08,TID1085,Checking,Utilities,-1243.07,INR,Gym membership
2023-11-13,TID1057,Savings,Entertainment,7699.92,INR,Movie tickets
2023-11-18,TID1056,Credit,Rent,5505.37,INR,Salary credited
2023-11-22,TID1073,Checking,Transport,9916.86,INR,Dining out
2023-11-22,TID1086,Credit,Food,3848.06,INR,Dining out
2023-11-24,TID1094,Savings,Transport,7962.51,INR,Electricity bill
2023-11-24,TID1000,Credit,Salary,-1191.27,INR,Movie tickets
2023-11-28,TID1083,Savings,Utilities,2632.21,INR,Monthly rent
2023-11-29,TID1023,Checking,Utilities,982.37,INR,Cab fare
2023-12-05,TID1064,Checking,Salary,5034.82,INR,Salary credited
2023-12-10,TID1079,Checking,Food,6162.56,INR,Gym membership
2023-12-13,TID1008,Credit,Entertainment,1165.56,INR,Electricity bill
2023-12-16,TID1082,Checking,Food,3138.1,INR,Grocery shopping
2023-12-17,TID1098,Savings,Transport,6528.31,INR,Movie tickets
2023-12-19,TID1095,Savings,Food,-1547.22,INR,Movie tickets
2023-12-24,TID1033,Checking,Utilities,7142.52,INR,Electricity bill
2023-12-26,TID1081,Savings,Entertainment,-379.09,INR,Grocery shopping
2023-12-26,TID1024,Savings,Food,7246.48,INR,Monthly rent
2023-12-27,TID1061,Savings,Transport,7763.93,INR,Movie tickets
